content	passageId	label	propertyName	propertyId	propertyDescription
He is currently Chester D. Tripp Professor of Humanities, Professor of Philosophy, and Professor in the College at the University of Chicago.	4988:350:491	0	EMPLOYEE_OR_MEMBER_OF	3	Describes the previous/current employer of a person.
Xerox is headquartered in Norwalk, Connecticut (having moved from Stamford, Connecticut in October 2007), though its largest population of employees is based around Rochester, New York, the area in which the company was founded.	12155:169:397	0	DATE_FOUNDED	5	Describes the founding date of a company.
James Zhuge is also one of the original founders of Dactron Incorporated.	20165:581:654	0	POLITICAL_AFFILIATION	45	Describes the relationship between a person and her/his political affiliation.
James Zhuge and Justin Tang are the co-founders of Crystal Instruments.	20165:509:580	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
He turned to management with Port Vale in May 1936, and moved on to Northampton Town twelve months later.	19290:1030:1135	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
She married Frederick Dame in 1940, and together they lived in 13 states and spent three years in Japan.	29650:278:382	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
In 1982, she married Jack Sullivan, and they spent many happy years together until his death in 1990.	29650:701:802	0	DATE_OF_DEATH	14	Describes the date of death of a person.
KITTERY, Maine — Lucille (Dame) Sullivan, died peacefully on Jan. 1, 2016, at 100 years of age.	29650:139:234	0	DATE_OF_DEATH	14	Describes the date of death of a person.
Victor Benavides hails from Flushing, NY and studies at the University of Notre Dame, where he is majoring in American Studies.	9373:26:153	0	EDUCATED_AT	9	Describes the relationship between a person and the institution where she/he studied.
He is currently employed on campus by the University Writing Center where he serves as a writing tutor.	9373:648:751	0	EDUCATED_AT	9	Describes the relationship between a person and the institution where she/he studied.
After graduating from Berklee College of Music in 2005, he became a producer for Dr. Dre’s Aftermath Entertainment label.	20630:91:212	0	FOUNDED_BY	2	Describes the relationship between an organization and its founder or co-founder.
"Sylveanus Augustus ""Vean"" Gregg was born April 13, 1885, in Chehalis, Washington."	19364:12:93	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
She also met Harriet Clisby and together they produced the first all-women publication in 1861.	18786:891:986	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
He transferred to Logan Chiropractic College, located in St. Louis, MO, where he was one of the youngest students in his class.	11201:1177:1304	0	EDUCATED_AT	9	Describes the relationship between a person and the institution where she/he studied.
Royston Matthew Smith, (born 13 May 1964) is a British Conservative Party politician.	30066:15:100	0	POLITICAL_AFFILIATION	45	Describes the relationship between a person and her/his political affiliation.
Merry Clayton (born December 25, 1948) is an American soul and gospel singer and an actress.	27734:15:107	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
Florence (or Florentius) (died 30 November 1210) was a late 12th century and early 13th century nobleman and cleric.	16317:21:137	0	DATE_OF_DEATH	14	Describes the date of death of a person.
Sagan is on the board of directors of the Steppenwolf Theater Company, the Joffrey Ballet, the Chicago Public Library Foundation and the Graham Foundation for Advanced Studies in the Fine Arts.	2309:1052:1245	0	CEO	4	Describes the relationship between an organization and its CEO.
The seeds of Ulla Eyewear were sown in the late 1990s when many friends of Ulla (pronounced ooo-la), an iconic Madisonian, took notice of the fun, bold, and distinctive eyewear she acquired while visiting her native Germany.	1761:305:529	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
After working at the store for more than eight years, Joe's daughter, Brittany, took over operations and ownership in 2009.	1761:787:910	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
Originally a business application and hardware trader, we have grown and evolved our business over the years.	8628:708:817	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
Since 2010, we have moved our Malaysia operation office to USJ 15, Subang Jaya.	8628:138:217	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
Progressive was purchased by Sauder Woodworking in 2001 and operates as an independent subsidiary.	20448:618:716	0	SUBSIDIARY_OF	1	Describes the relationship between a parent company and one of its subsidiaries.
Released on February 21, 2006, by Jada Pinkett Smith's production company 100% Women and Suburban Noize Records, Will Smith served as the project's executive producer.	13617:117:284	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
She moved to Webster, New York at a young age, returned to California to live several times, returning to Webster in 2004.	16119:108:230	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
Susan Gibney (born September 11, 1961 in Manhattan Beach, California) is an American actress.	16119:14:107	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
Since 30 October 2004, he has been Chairman of the Executive Council of Vojvodina and President of the Government of Vojvodina.	12834:331:458	0	POLITICAL_AFFILIATION	45	Describes the relationship between a person and her/his political affiliation.
In May 2014 he became the leader of the Democratic Party of Serbia.	12834:158:225	0	POLITICAL_AFFILIATION	45	Describes the relationship between a person and her/his political affiliation.
"Bojan ""Boki"" Pajtić (Serbian Cyrillic: Бојан Пајтић; born 2 May 1970 in Senta, SFR Yugoslavia) is the President of the Government of Vojvodina."	12834:14:157	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
For many years now, the residents of Fredericksburg, VA have relied on us for affordable replacement and repair of all their windows and glass doors, and we appreciate their business and their support.	19819:257:458	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
It offers cross-border services through its wholly owned subsidiary, Trans-Mex.	30403:488:567	0	SUBSIDIARY_OF	1	Describes the relationship between a parent company and one of its subsidiaries.
HitRadio 1224 was a commercial radiostation with the differnce names until the years: HitRadio Veronica was a Dutch commercial radio station that was created when the public broadcaster Veronica Omroep Organisatie left the public system in August 1995, when they created the Holland Media Groep with CLT (RTL).	21119:19:329	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
"It is well known today as ""Scotland's National Book Town"" with a high concentration of second-hand book shops."	8086:242:352	0	EMPLOYEE_OR_MEMBER_OF	3	Describes the previous/current employer of a person.
Since becoming a Canadian Citizen in 2015, Yvone’s passion for making a positive impact in the lives of those around her has grown.	9078:244:375	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
Lukáš Dvořák (born 1982; Prague, Czechoslovakia) is a Czech photographer of international renown.	24076:29:126	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
Lincoln Education Services through its subsidiary, Lincoln Vocational skilling, has set up vocational training centers in different parts of the coastal region.	20279:500:660	0	SUBSIDIARY_OF	1	Describes the relationship between a parent company and one of its subsidiaries.
Headquartered in Austin, Texas, MapMyFitness has over 100 employees and offers integrated marketing and advertising solutions, premium consumer subscription products, and a SaaS platform that helps partners of any size tap into advanced fitness tracking technology, workout database, nutritional data, calorie calculators, and 160+ million of the best running, cycling and walking routes around the world.	30538:802:1207	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
"Their daughter Ann Remington (her first name is also spelled ""Anne"") was the first wife of William Ellery, a signer of the United States Declaration of Independence."	30293:258:423	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
Currently, she works as the Director of Bangkok Hospital Rehabilitation and Recovery Center Bangkok Thailand	4960:335:443	0	SPOUSE	25	Describes the relationship between a person and her/his spouse.
Apisamai Srirangsan (Thai: อภิสมัย ศรีรังสรรค์; rtgs: Aphisamai Sirangsan), nicknamed Birth (Thai: เบิร์ท) (born December 15, 1974 in Bangkok, Thailand) was Miss Thailand 1999.	4960:21:197	0	DATE_OF_DEATH	14	Describes the date of death of a person.
He is also Associate Laboratory Director for Biosciences at the Lawrence Berkeley National Laboratory and chief executive officer of the Joint BioEnergy Institute.	12992:131:294	0	EMPLOYEE_OR_MEMBER_OF	3	Describes the previous/current employer of a person.
From 2008 to 2013, he served in a number of product management roles at Google in London and California, including Vice President and product spokesman of Google's Android division.	4993:253:434	0	EMPLOYEE_OR_MEMBER_OF	3	Describes the previous/current employer of a person.
Hugo Barra (born October 28, 1976 in Belo Horizonte, Brazil) is a Brazilian computer scientist, technology executive and entrepreneur.	4993:12:146	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
He is currently Vice President of International for Xiaomi, a technology company based in Beijing, China.	4993:147:252	0	HEADQUARTERS	6	Describes the specific location where an organization's headquarters is or has been situated.
Matthew DiSero (born August 23, 1974 in Brampton, Ontario) is a Canadian comedian and magician who has appeared regularly on Comedy at Club 54.	8205:16:159	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
DiSero was born in Brampton and later moved to Toronto.	8205:160:215	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
Trond Helleland (born 10 July 1962 in Kvam, Hordaland) is a Norwegian politician representing the Conservative Party.	16137:17:134	0	POLITICAL_AFFILIATION	45	Describes the relationship between a person and her/his political affiliation.
Boris Sokolov (Russian: Бори́с Вади́мович Соколо́в; born January 2, 1957 in Moscow), is a historian and a Russian literature researcher (he has Candidate of Science degree in History and Habilitat Doctor of Science in Philology).	16133:26:255	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
Among the 34 states in January 1861, seven Southern slave states individually declared their secession from the United States and formed the Confederate States of America.	7896:243:414	0	PLACE_OF_RESIDENCE	11	Describes the relationship between a person and the location where she/he lives/lived.
Mohamed Dia (born 5 August 1973 in the Sarcelles) is a Franco-Malian designer of sport clothing (sporstwear and streetwear), founder of the M.Dia brand.	17636:13:165	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
I grew up just outside San Diego, CA and lived there until going to college at Brigham Young University.	8574:267:371	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
We now have five children and enjoy raising them here in Reno, where Brooke grew up herself.	8574:703:795	0	DATE_OF_DEATH	14	Describes the date of death of a person.
Working with the kids is refreshing and fun; they keep me entertained and always make me laugh.	8574:128:223	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
"The union produced one child, Dalton Bruce (born October 4, 1989) (who can be seen in Terminator 2: Judgment Day as ""Infant John Connor"")."	15662:647:785	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
They married April 12, 1994 and have 1 son, Tyler Quinlan (born October 17, 1990).	15662:934:1016	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
That same year, on the Dallas, Texas, set of the television film Trapped, Abbott met actress Kathleen Quinlan.	15662:823:933	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
He is perhaps equally well known for founding both digital computer and digital circuit design theory in 1937, when, as a 21-year-old master's degree student at the Massachusetts Institute of Technology (MIT), he wrote his thesis demonstrating that electrical applications of Boolean algebra could construct any logical, numerical relationship.	5277:295:639	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
"Claude Elwood Shannon (April 30, 1916 – February 24, 2001) was an American mathematician, electrical engineer, and cryptographer known as ""the father of information theory""."	5277:16:189	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
"Bradshaw says it was the hunting lodge of King James VI, and that King Charles X of France, lived here ""after the events of 1830""."	16061:614:744	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
Mario Joseph Gabelli (born June 19, 1942) is an American stock investor, investment advisor, and financial analyst.	12919:15:130	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
As of April 2012, the PCT's president and chief executive officer (CEO) is J. Kevin McMahon, and in 2010, its net assets were valued at US$125,096,209.	12934:784:935	0	CEO	4	Describes the relationship between an organization and its CEO.
Heinrich Vuyst, O.F.M. or Heinrich Wust (died 1468) was a Roman Catholic prelate who served as Auxiliary Bishop of Paderborn (1462–1468).	29636:16:153	0	DATE_OF_DEATH	14	Describes the date of death of a person.
It was a subsidiary body of the UN Economic and Social Council (ECOSOC), and was also assisted in its work by the Office of the United Nations High Commissioner for Human Rights (UNOHCHR).	1497:245:433	0	SUBSIDIARY_OF	1	Describes the relationship between a parent company and one of its subsidiaries.
The film featuring a huge all-star cast Dharmendra, Hema Malini, Vinod Khanna, Parveen Babi, Jeetendra, Neetu Singh, Vinod Mehra, Danny Denzongpa in pivotal roles and music composed by R. D. Burman.	13649:189:387	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
He has also recorded material with artists such as Evan Parker, Dredd Foole, Sunburned Hand of the Man, Six Organs of Admittance, Kim Gordon, Thurston Moore, Matt Valentine, Nels Cline, Vibracathedral Orchestra, Cold Bleak Heat, Jim O'Rourke, Jandek, Michael Flower, and C. Spencer Yeh as well releasing numerous solo recordings.	13611:139:468	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
The tensions began in August 18, when the Syrian government presided by Shukri al-Quwatli made a series of provocative institutional changes, such as the appointment of Col. Afif al-Bizri as chief-of-staff of the Syrian Army, who was alleged by Western governments of being a Soviet sympathizer.	7575:263:558	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
In 1993 he was hired to the National Bank of Belarus, where he was vice-chairman and first vice-chairman, serving under four chairmen from Stanislaw Bagdankevich to Piotr Prakapovich.	7577:848:1031	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
Pavel Uladzimiravich Kalaur (Belarusian: Павел Уладзіміравіч Калаур), or Pavel Vladimirovich Kallaur (Russian: Павел Владимирович Каллаур; born 1962, Stolin District, Brest Region, Byelorussian Soviet Socialist Republic, USSR) is a Belarusian economist and head of the National Bank of Belarus from 27 December 2014.	7577:15:331	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
"His thesis ""Monetary Union of Belarus and Russia: Economic Background and Consequences"" was devoted to the problem Belarusian—Russian economic integration."	7577:1316:1471	0	SPOUSE	25	Describes the relationship between a person and her/his spouse.
Roger  is  the  founder  and  CEO  of  Revolymer  and  was  previously  co-founder  of  ChiRex,  a  contract manufacturing organization in the chemical and pharmaceutical industry that executed an IPO out of its  parent  business  Sepracor  in  1996.	30543:15:265	0	SUBSIDIARY_OF	1	Describes the relationship between a parent company and one of its subsidiaries.
The current Secretary of the Interior in Barack Obama's administration is former REI CEO & former Mobil Oil executive Sally Jewell of Washington.	5207:1108:1253	0	POLITICAL_AFFILIATION	45	Describes the relationship between a person and her/his political affiliation.
Because the policies and activities of the Department of the Interior and many of its agencies have a substantial impact in the western United States, the Secretary of the Interior has typically come from a western state; only one of the individuals to hold the office since 1949 is not identified with a state lying west of the Mississippi River.	5207:760:1107	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
Jane A. (nee Snowman) Betz Proefrock, age 84, of the Town of Tonawanda, died unexpectedly, Sunday, June 14, 2009, at her residence.	1824:65:196	0	DATE_OF_DEATH	14	Describes the date of death of a person.
Born in North Tonawanda, she was the daughter of the late Sarah Snowman and had been employed at the Federal Reserve Bank in Buffalo, before retiring.	1824:197:347	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
A lifelong resident of the Tonawandas, Mrs. Proefrock was a member of Salem United Church of Christ in Tonawanda.	1824:348:461	0	POLITICAL_AFFILIATION	45	Describes the relationship between a person and her/his political affiliation.
His son, Humes Laughlin, continued in his father's business until his death in 1947.	1804:573:657	0	DATE_OF_DEATH	14	Describes the date of death of a person.
The family partnership continued until John L. Purdy's death on July 2, 1996 at which time John R. Purdy became president.	1804:1001:1123	0	DATE_OF_DEATH	14	Describes the date of death of a person.
Founded by the late James Burnett Laughlin Service was originally located in Downtown Huntsville on the south side of the square.	1804:254:383	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
Today I along with my wife Naomi and our 4 children work together to bring the same great service and products that our customers have come to expect from Stoltzfus BBQ & Fresh Poultry.	30245:863:1048	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
Amos Stoltzfus started bringing fresh meats from Lancaster County to Booths Corner in 1945.	30245:245:336	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
Mrs Fitzherbert, wife of King George IV, was the eldest child of William Smythe of Brambridge, Hampshire, and Mary Ann Errington.	13664:909:1038	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
After his retirement as professor in 1928, he was appointed manager of the recently established Statens Vitaminlaboratorium.	7917:375:499	0	EMPLOYEE_OR_MEMBER_OF	3	Describes the previous/current employer of a person.
Poul Edvard Poulsson (18 April 1858 – 19 March 1935) was a Norwegian physician.	7917:17:96	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
He was born in Larvik, and was the father of lawyer Erik Tutein Poulsson and a father-in-law of Gabriel Langfeldt.	7917:97:211	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
He was born on 6 January 1830 in Darmstadt, Germany and died on 5 August 1914.	29688:154:232	0	DATE_OF_DEATH	14	Describes the date of death of a person.
Ernst Ludwig Alfred Hegar, aka Alfred Hegar, was a German gynecologist famous for developing new medical tools and techniques.	29688:27:153	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
Jason Davis, a Miami native since the mid 90‘s, grew up in Deal, New Jersey and New York City.	19763:176:270	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
Jason is a family man when not in the office he loves spending his free time with his wife and kids.	19763:1494:1594	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
Educational Products, Inc. (EPI) has become a one-stop-shop for parent groups and educators seeking simple solutions.	1012:27:144	0	SUBSIDIARY_OF	1	Describes the relationship between a parent company and one of its subsidiaries.
Tax Lawyers Group, A Professional Corporation, is a Los Angeles based tax law firm with affiliated offices throughout California, Nevada and Hawaii.	18563:37:185	0	HEADQUARTERS	6	Describes the specific location where an organization's headquarters is or has been situated.
Heinz-Hermann Koelle (born 22 July 1925 Danzig, died 20 February 2011 in Berlin, Germany, 85 years old) was an aeronautical engineer who made the preliminary designs on the rocket that would emerge as the Saturn I. Closely associated with Wernher von Braun's team at the Army Ballistic Missile Agency (ABMA), he was a member of the launch crew on Explorer 1 and later directed the Marshall Space Flight Center's involvement in Project Apollo.	5104:22:464	0	DATE_OF_DEATH	14	Describes the date of death of a person.
NDTV Profit is a business news channel started by New Delhi Television in January 2005.	17435:13:100	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
Edward Allan Pease (born May 22, 1951) was a Republican U.S. Representative from Indiana from 1997 to 2001.	12924:17:124	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
Philip Davis (March 4, 1906 – 16 December 1964), better known as Phil Davis, was an American artist who illustrated Mandrake the Magician, written by Lee Falk.	21022:25:184	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
In 1933, Davis met St. Louis advertising agency executive Lee Falk, and the two began their collaboration on Mandrake the Magician.	21022:794:925	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
Sir John Parnell died in 1782, was succeeded by his only son, Sir John Parnell, 2nd Baronet, knight of the shire for the Queen's County, commissioner of the revenue in Ireland, Chancellor of the Exchequer, Privy Councilor, and Lord of the Treasury He was great-great-grandfather of Irish nationalist leader Charles Stewart Parnell.	23266:786:1117	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
Gottlieb Muffat (April 1690 – 9 December 1770), son of Georg Muffat, served as Hofscholar under Johann Fux in Vienna from 1711 and was appointed to the position of third court organist at the Hofkapelle in 1717.	16296:17:228	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
As New England campaign chairman for Bush-Cheney '04 Inc., Tobin stepped down two weeks before the election when state Democrats accused him of involvement in a phone-jamming scheme on Election Day 2002.	12952:369:572	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
His dissertation focused on a group of political reformers of the late 19th century who left the Republican Party to join the Democratic Party, the Mugwumps.	16118:531:688	0	POLITICAL_AFFILIATION	45	Describes the relationship between a person and her/his political affiliation.
He received a PhD at Harvard University in 1961, and returned to the college a year later to join the History Department.	16118:409:530	0	EDUCATED_AT	9	Describes the relationship between a person and the institution where she/he studied.
Queen Charlotte was England's enthusiastic Patron of the Arts and Queen to King George III.	13582:507:598	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
He was the son of Richard Cooper senior (1701-1764) and his wife Anne Lind.	13582:164:239	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
Richard Cooper (or Richard Cooper Jr. or Richard Cooper II) was born in Edinburgh on 6 February 1740 and died at Eltham, Kent in December 1822.	13582:20:163	0	DATE_OF_DEATH	14	Describes the date of death of a person.
Colston Estey Warne (August 14, 1900 – May 20, 1987) was a professor of economics and one of the founders of Consumers Union (along with Arthur Kallet), in 1936.	29256:15:176	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
Dublanc Football Club (also known as Dublanc Sports Club and, previously, Dublanc Strikers Sports Club) is a Dominica football club based in Dublanc, Dominica who plays their home games in Roseau, Dominica.	8434:12:218	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
I'm a 35 year old graduate from Texas A&M University, and recently became a new father to my son Jayce AleXavier Gomez.	30278:12:131	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
Dean McDermott (born November 16, 1966) is a Canadian-American actor best known as a reality television personality with his wife, actress Tori Spelling, and as the host of the cooking competition Chopped: Canada.	12731:16:229	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
Theo Larayan Robinson (born 22 January 1989) is an English-born Jamaica international footballer who plays for League One club Port Vale.	12847:15:152	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
Harald Saue (20 February 1876 – 28 December 1958) was a Norwegian farmer and politician for the Agrarian Party and later Nasjonal Samling.	28896:13:151	0	POLITICAL_AFFILIATION	45	Describes the relationship between a person and her/his political affiliation.
He died in late December 1958 and was buried in a family grave in Lier.	28896:1799:1870	0	DATE_OF_DEATH	14	Describes the date of death of a person.
He was also a member of Riksskattestyret from 1929 to 1945, and chairman of Felleskjøpet in Oslo from 1935.	28896:931:1038	0	POLITICAL_AFFILIATION	45	Describes the relationship between a person and her/his political affiliation.
Although I was born in Surrey, I have been living in Kamloops for the past six years.	10593:119:204	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
I have been employed in the past, at NRI Distribution Inc., where I became an accomplished ICT (Inventory Control Technician), but I was eventually forced to step down from that position with my commencement at T.R.U.	10593:891:1108	0	EMPLOYEE_OR_MEMBER_OF	3	Describes the previous/current employer of a person.
He was hired in Hafslund as a board secretary in 1928, was promoted to manager in 1933 (also manager of Glommens Træsliberi and Vamma Fossekompagnie) and chief executive officer from 1936 to 1965.	28586:701:897	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
James Butler, 3rd Earl of Ormond (b. about 1359 – died 7 September 1405), was a noble in the Peerage of Ireland.	16275:34:146	0	DATE_OF_DEATH	14	Describes the date of death of a person.
James died in Gowran Castle in 1405 and is buried in St. Mary's Collegiate Church Gowran together with his father James Butler, 2nd Earl of Ormond, his grandfather James Butler, 1st Earl of Ormond and his great great grandfather Edmund Butler, Earl of Carrick and 6th Chief Butler of Ireland.	16275:337:629	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
Grey Wolf Therapeutics is a UK-based drug discovery biotechnology company focused on immuno-oncology and founded by experienced industry professionals Tom McCarthy (Executive Chairman), former President and CEO of Spinifex Pharmaceuticals and Peter Joyce (CEO), formerly of Vertex Pharmaceuticals.	15296:23:320	0	CEO	4	Describes the relationship between an organization and its CEO.
The size of this town was diminished by the formation of other towns in the county, including the Towns of Berlin and Lansingburgh in 1806, and Grafton and Nassau in 1807.	7900:397:568	0	PLACE_OF_RESIDENCE	11	Describes the relationship between a person and the location where she/he lives/lived.
The town was created in 1791 from the Town of Stephentown.	7900:338:396	0	DATE_FOUNDED	5	Describes the founding date of a company.
She was a hairdresser who was convicted as a German spy in the late 1930s.	29732:92:166	0	SPOUSE	25	Describes the relationship between a person and her/his spouse.
She briefly returned to Perth after her husband's death from pneumonia, but was back in Germany in 1920, when she married Baur Baumgarten, her late husband's cousin.	29732:618:783	0	DATE_OF_DEATH	14	Describes the date of death of a person.
At the age of 19 in 1907 she met a German waiter called Frederick Jordan and they moved together to Hamburg.	29732:390:498	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
Ilana was born in New York but grew up in Jerusalem, Israel, where she spent her teen years haunting secondhand bookstores in search of books written in English—especially fantasy.	1981:296:476	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
He was also a member of the State Democratic Executive Committee in Mississippi.	29487:715:795	0	POLITICAL_AFFILIATION	45	Describes the relationship between a person and her/his political affiliation.
Born in West Point, Mississippi, Gibbs served in the Mississippi House of Representatives, as a Democrat, representing District 36 which covers parts of Clay, Lowndes, and Monroe counties, from 1992 until his death.	29487:100:315	0	DATE_OF_DEATH	14	Describes the date of death of a person.
VisioSign A/S was originally based purely in Denmark where it is the acknowledged market specialist, and which is why our information system has become the generic term for 'communication via digital signage'.	11197:11:220	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
Todd Traina is an American film producer and the founder of Red Rover Films in 2007.	28953:13:97	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
Francis Lascelles (Frank) Jardine (28 August 1841 – 1919) was an Australian pioneer associated with the exploration and settlement of Far North Queensland.	16198:27:182	0	CHILD_OF	34	Describes the relationship between a person and his/her parent.
He died in 1919 of leprosy and is buried at Somerset with his Samoan Princess bride Sana Solia.	16198:1179:1274	0	DATE_OF_DEATH	14	Describes the date of death of a person.
Originally located on rue Ontario near Papineau, DIRA moved in 2005 to its current location at 2035 boulevard St-Laurent, near Sherbrooke.	8330:528:666	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
Romina Tejerina (b. in 1983 in San Pedro, Jujuy Province) is an Argentine woman who was sentenced on June 10, 2005 to 14 years in prison for the February 23, 2003 murder of her baby daughter.	20209:17:208	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
