propertyId,propertyName,propertyDescription,content,label
2,FOUNDED_BY,Describes the relationship between an organization and its founder or co-founder.,"Of Armenian descent, he was the founder and first president of the Armenian Academy of Sciences (1943–47).",7
25,SPOUSE,Describes the relationship between a person and her/his spouse.,"He married Virginia ""Cricket"" Franche Jones, an interior designer, in 1999.",13
11,PLACE_OF_RESIDENCE,Describes the relationship between a person and the location where she/he lives/lived.,"Originally founded as ""The Clay Club"" by Dorothea Denslow, SculptureCenter renamed itself in 1944 and in 1948 moved to a carriage house on East 69th Street in Manhattan.",11
11,PLACE_OF_RESIDENCE,Describes the relationship between a person and the location where she/he lives/lived.,"The 2001 Michigan State Spartans football team represented Michigan State University in the 2001 college football season.The Spartans played their home games at Spartan Stadium in East Lansing, Michigan.",11
5,DATE_FOUNDED,Describes the founding date of a company.,His passion was coin collecting and he also co-founded the South Shore Coin Club in 1972.,2
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"He was born in Holualoa, Hawaii and was of Japanese descent.",9
5,DATE_FOUNDED,Describes the founding date of a company.,The First Army was created on 1 January 2015 in an effort to unify rebel ranks in southern Syria.,2
25,SPOUSE,Describes the relationship between a person and her/his spouse.,"He was the father of H. John Heinz III, Republican member of the U.S. House of Representatives and U.S. Senate, and father-in-law of Teresa Heinz Kerry, his son's widow, who is the wife of current Secretary of State John Kerry.",13
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,Wong Shu Qi (born 26 November 1983) is a Malaysian politician from the Democratic Action Party (DAP).,12
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"He was born in Bay Shore, New York and raised on Long Island.",10
1,SUBSIDIARY_OF,Describes the relationship between a parent company and one of its subsidiaries.,"Today, The Roof Center is a subsidiary of Beacon Roofing Supply, Inc. (NASDAQ: BECN), a Fortune 1000 Company and the largest publicly held distributor of roofing products in the United States.",14
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,"He founded The Hershey Chocolate Company and the ""company town"" of Hershey, Pennsylvania, eventually becoming a great success.",6
6,HEADQUARTERS,Describes the specific location where an organization's headquarters is or has been situated.,"Lazarus Department Store is a family owned and operated clothing store, located in downtown Moultrie, Georgia.",8
14,DATE_OF_DEATH,Describes the date of death of a person.,"Elio Fiorucci died on July 20, 2015, at the age of 80, after he was found dead in his Milan home.",4
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"Peters is the founder of NGTechBlog which is a subsidiary of New Generations Technology, He was born in 22nd July 2000 in Delta State Nigeria.",10
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,Jimm's past experience has been in advertising and creative work in the Automotive Aftermarket and Retail Diabetic Shoes where he was a Creative Director and Director of Marketing.,6
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,Also known simply as Theatre I it began life originally in French in the late fifties as Fragment de théâtre and was later translated into English by Beckett himself.,10
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"Andrew Stuart ""Andy"" Tanenbaum (sometimes referred to by the handle ast) (born March 16, 1944) is an American computer scientist and professor emeritus of computer science at the Vrije Universiteit, Amsterdam in the Netherlands.",10
6,HEADQUARTERS,Describes the specific location where an organization's headquarters is or has been situated.,"PJ Lynch Associates is a retained executive search firm based in Ridgefield, CT, established in 1988.",8
4,CEO,Describes the relationship between an organization and its CEO.,She was purchased at the 1942 Sydney yearling sales by Brian Crowley (a future chairman of the AJC) for 60 guineas.,0
34,CHILD_OF,Describes the relationship between a person and his/her parent.,"In the year of grace 1725, Louis XV got married Marie Leszczynska, daughter of King Stanislas of Poland.",1
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"Edwin Collins ""Alabama"" Pitts, Jr. (November 22, 1909 – June 7, 1941) was an American convicted felon who garnered media attention in his attempt to play professional baseball after his release from Sing Sing prison.",9
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,"UniPress never took legal action against Stallman or his nascent Free Software Foundation,[citation needed] believing ""hobbyists and academics could never produce an Emacs that could compete"" with their product.",6
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"William Dennison Cary was the founder and namesake of Cary, Illinois, and one of its early prominent citizens.",9
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,"When Parker Pen entered the Mexican market, its advertisements which claimed that Parker Pens ""won't leak in your pocket and embarrass you"" was mistranslated to ""No te embarazará chorreándose en tu bolsillo"", which means ""Won't leak in your pocket and impregnate you"".",5
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"Wladimir de Schoenefeld (12 January 1816 in Berlin – 8 September 1875 in Paris) was a German-born, French botanist.",9
11,PLACE_OF_RESIDENCE,Describes the relationship between a person and the location where she/he lives/lived.,"Pengilly is a resident of Victor Harbor, and was formerly the mayor of Kangaroo Island as well as chairman of the SA Country Fire Service Board from 1995 to 2000.",11
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"After the French Revolution, when Venaissin was annexed by France, the Provençal rite was replaced by the Portuguese liturgy, which is used by the Jews of Carpentras today.",9
14,DATE_OF_DEATH,Describes the date of death of a person.,"It also includes sequences set in the (when it was originally published contemporary) 1989 Batman continuity, a period in which Batman recovers from the recent death of the second Robin (Jason Todd), Dick Grayson (the original Robin) returns to Gotham City after a long absence and Boss Zucco (the individual responsible for the death of Grayson's parents) is paroled.",4
11,PLACE_OF_RESIDENCE,Describes the relationship between a person and the location where she/he lives/lived.,"Jantar died in the crash of LOT Polish Airlines Flight 007 from JFK International Airport on 14 March 1980, near Okęcie Airport in Warsaw.",11
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,"I later joined Pickles Auctions where I stayed for 17 years, starting with them when they had only two staff members.",6
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,"He graduated from Emmaus High School in Emmaus, Pennsylvania in June of 2005 and is a student at the Honors College at Baylor University in Waco, Texas where he is double-majoring in philosophy and political science.",5
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,"Multi-award winner and recognized computing operations thought leader, Robert A. Bull, founded AdminaHealth, a health plan expense management portal to help companies manage health care costs for employees.",6
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,"He was a PhD student of Andrey Kolmogorov at the Moscow State University, where he obtained his PhD in 1956.",5
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,He played with his Turkish citizenship at Galatasaray as Dündar Siz and won Turkish First League championship with Galatasaray in 1987–88 season.,9
1,SUBSIDIARY_OF,Describes the relationship between a parent company and one of its subsidiaries.,"Together with our parent company, Contital s.r.l. we supply aluminium trays to the UK, Eire, Continental Europe, Middle East, North America, Asia and Australia.",14
34,CHILD_OF,Describes the relationship between a person and his/her parent.,"His father, Hiram C. Brower, was credited with installing the first ""speaking tubes"" in Syracuse and also the first enunciators and began the first telephone exchange which had about 1,000 subscribers.",1
14,DATE_OF_DEATH,Describes the date of death of a person.,"Joe HujoehuberIIIber, III, the son of Bonnie and the late Joe Huber, Jr., died following an accident at his home in Starlight, Indiana on July 27 around 11:00am when the riding lawn mower he was using overturned into a pond.",4
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,"The mathematical properties of the catenary curve were first studied by Robert Hooke in the 1670s, and its equation was derived by Leibniz, Huygens and Johann Bernoulli in 1691.",5
2,FOUNDED_BY,Describes the relationship between an organization and its founder or co-founder.,"Vladyslav Mykulyak (Ukrainian: Владислав Степанович Микуляк; born 30 August 1984 in Ukrainian SSR, Soviet Union) is a professional Ukrainian footballer who currently plays for Várda SE.",7
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,Dr. S.M. Bhatt grew up in southern California and attended UC Irvine for his undergraduate studies.,10
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,"Dian Yu is senior student majoring in Computer Science at Indiana University--Bloomington, minoring in Informatics and Marketing.",5
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,She has lived in Moncton since the 1970s.,10
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,In 1976 he was the youngest chairman of the board and national bank[which?],12
14,DATE_OF_DEATH,Describes the date of death of a person.,But we didn’t promise too much last year and have eliminated almost all the mistakes in 2007.,4
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,Håkon Hoff (15 April 1898 – 4 July 1976) was a Norwegian newspaper editor and politician for the Labour Party.,12
11,PLACE_OF_RESIDENCE,Describes the relationship between a person and the location where she/he lives/lived.,"Lisa Celeste Stroud (born September 12, 1962), known by her stage name, Simone, is an American singer and actress, known for her work in the Broadway theatre field.",11
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"Ziad Makhzoumi (Born in Beirut, Lebanon on January 20, 1955) is a public speaker, coach and business executive currently serving as the Chief Executive Officer of Fakih IVF.",10
25,SPOUSE,Describes the relationship between a person and her/his spouse.,"This designation met the strong opposition of Eurydice, wife of Philip III, leading, in the meeting called in 321 BCE at Triparadisus of all the generals, to their replacement with Antipater.",13
4,CEO,Describes the relationship between an organization and its CEO.,"Until 15 November 2013, he was the CEO of Belgacom, the leading telecommunications company of Belgium.",0
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,"Mohammed Ameur (born 1959, Debdou) is a Moroccan politician of the Socialist Union of Popular Forces.",12
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,"Some of the influential Canada Basketball Alumni include Steve Nash, Leo Rautins, Stacey Dales, and Lars Hansen.",5
34,CHILD_OF,Describes the relationship between a person and his/her parent.,She was survived by her children Elsie A Downey and David Schoch Ford and four grandchildren.,1
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"Thomas Alva Edison Birthplace is the historic house in which the American inventor Thomas Alva Edison was born on February 11, 1847.",10
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,Harry Lowes Cowans (19 December 1932 – 3 October 1985) was a British Labour Party politician.,12
5,DATE_FOUNDED,Describes the founding date of a company.,"CRS was established in 2003 by Mike Clark, Hayden Tennant and Lisa Humphries.",2
1,SUBSIDIARY_OF,Describes the relationship between a parent company and one of its subsidiaries.,"Sands China Ltd. (HKSE:1928) is a subsidiary of global resort developer Las Vegas Sands Corp. (NYSE:LVS), and the largest operator of integrated resorts in Macao.",14
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"Jonathan Dayton (October 16, 1760 – October 9, 1824) was an American politician from the U.S. state of New Jersey.",9
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"Originally based in Red Lion Street, we have been in this listed building in Camden Town since 1905.",10
1,SUBSIDIARY_OF,Describes the relationship between a parent company and one of its subsidiaries.,"Hitachi Automotive Systems Americas, Inc. was formed on January 1, 2011 when Hitachi Automotive Products (USA), Inc. merged and consolidated its two subsidiaries, UNISIA OF GEORGIA CORPORATION and TOKICO (USA) INC.",14
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"Laser-cut jewelry is a popular craft product, but the lantern kits were my creation as San Jose souvenirs.",9
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"Born on February 14, 1986 ... Parents are Steve Harris and Loucinda Allgood.",10
4,CEO,Describes the relationship between an organization and its CEO.,"Michael Santucci is the founder and president of Sensaphonics Hearing Conservation, Inc., based in Chicago, Illinois.",0
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,A recent infraction of the rule that no Venetian citizen should serve a foreign power without the express leave of the Serenissima rankled at Venice: Cardinal Vincenzo Grimani had moved to Vienna in 1699 and was appointed viceroy of Naples in 1708.,9
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"His brother Simeon Stetson originally settled here as well, but moved to nearby Hampden in 1803.",10
1,SUBSIDIARY_OF,Describes the relationship between a parent company and one of its subsidiaries.,"Aker Solutions ASA is the parent company of the group, which consists of a number of separate legal entities.",14
14,DATE_OF_DEATH,Describes the date of death of a person.,"After the war ended, Huber never served any prison time and died in Munich in 1975.",4
14,DATE_OF_DEATH,Describes the date of death of a person.,"In 1863 it was purchased by Simon Cameron, Lincoln's first Secretary of War and later Ambassador to Russia, who transformed the Georgian house into a stylish Victorian mansion and lived there until his death in 1889.",4
15,DATE_OF_BIRTH,Describes the date of birth of a person.,"He series produced 6 series of Russell Howard's Good News for Avalon Television/BBC3, he also produced series 2 of BBC Three's Live At The Electric and series produced series 3 that aired in Jan 2014.",3
14,DATE_OF_DEATH,Describes the date of death of a person.,"Having auditioned unsuccessfully in 2007, he auditioned again and made it through to the live shows (final 12) in the 2008 series of X Factor but was eliminated on the fourth live show on 1 November 2008.",4
15,DATE_OF_BIRTH,Describes the date of birth of a person.,"He had remained managing director of the brick division of B. J. Forder & Son until it was amalgamated into The London Brick Company in 1923, and Stewart became chairman of its board.",3
1,SUBSIDIARY_OF,Describes the relationship between a parent company and one of its subsidiaries.,"A subsidiary of Japan's Hino Motors, Hino first began supplying buses to Thailand in 1952.",14
14,DATE_OF_DEATH,Describes the date of death of a person.,"During his youth he served on the Netherlands in the imperial military army, during which he was wounded in the Spanish Succession War at Höchstädt; in 1715 he left the Army after the death of his father, and assumed the government of the duchy of Saxe-Hildburghausen.",4
14,DATE_OF_DEATH,Describes the date of death of a person.,"Schnake served as chairman emeritus until June 27, 2009 when he died at the age of 78.",4
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"Delvic Dyvon ""Dino"" Philyaw (born October 30, 1970) is a retired American professional football player who served as a running back and kick returner for the National Football League's Carolina Panthers and New Orleans Saints.",9
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"It follows the story of Hilly Kristal's New York club from its concept as a venue for Country, Bluegrass and Blues (CBGB) to what it ultimately became: the birthplace of underground rock'n'roll and punk.",10
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,Newbery was a member of the Royal Society of Victoria and was Honorary Superintendent of Juries and Awards at the Melbourne International Exhibition (1880).,12
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,"After graduating with MBA, she joined The Ateliers Ritz-Carlton as an Assistant General Manager.",6
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"Eleuthere Paul du Pont (April 24, 1887 – September 26, 1950) was an American industrialist, and the son of Francis Gurney du Pont.",9
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,Robert Danisch has a PhD in Communication from the University of Pittsburgh (2004) and a BA from the University of Virginia in History and Philosophy.,5
34,CHILD_OF,Describes the relationship between a person and his/her parent.,"Fascinated by the entrepreneurial skills of the father and the cohesion and synergy of the group, Mr. Floriano Bussetti decided to join the family business becoming the CEO (Chief Executive Officer) and deciding to embrace the philosophy of Sammi ""no barriers exist only new challenges"" and bringing the brand SAMMI to became one of the most important on the International Market.",1
14,DATE_OF_DEATH,Describes the date of death of a person.,"Joseph Ferrucci, 83 Joseph Ferrucci, 83, of Shrewsbury, formerly of Milford, died April 24, 2012 in the Glavin Regional Center in Shrewsbury.",4
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"Yasuo Aiuchi (相内 康夫 Yasuo Aiuchi, born 12 November 1971) is a Japanese snowboarder.",9
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,"Prior to joining Sand 9, Paul served for four years as Chief Financial Officer at VBrick Systems, a later-stage video-over-IP networking company.",6
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"Fab44 is a non-profit organization that organizes camps, clinics, training and basketball tournaments in the US.",9
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,"C was originally developed by Dennis Ritchie between 1969 and 1973 at AT&T Bell Labs, and used to re-implement the Unix operating system.",6
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,He was professor of mathematics at MIT.,6
14,DATE_OF_DEATH,Describes the date of death of a person.,Necrophobic is a Swedish blackened death metal band formed in 1989 by drummer Joakim Sterner and now-deceased guitarist David Parland.,4
12,PLACE_OF_BIRTH,Describes the relationship between a person and the location where she/he was born.,"Chris was born Christopher Eric Cohran on January 23, 1989 in the small town of Villa Rica, GA.",10
2,FOUNDED_BY,Describes the relationship between an organization and its founder or co-founder.,"Our founder, Louis Clay, continues to run the business and to his credit, served as past-president of the Insurors of Tennessee.",7
5,DATE_FOUNDED,Describes the founding date of a company.,"Pathology is an American death metal band from San Diego, California, formed in 2006 by drummer Dave Astor (previously with The Locust and Cattle Decapitation).",2
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,"Alfons Maria Jakob (2 July 1884 in Aschaffenburg/Bavaria – 17 October 1931 in Hamburg) was a German neurologist who worked in the field of neuropathology.He was born in Aschaffenburg, Bavaria and educated in medicine at the universities of Munich, Berlin, and Strasbourg, where he received his doctorate in 1908.",6
2,FOUNDED_BY,Describes the relationship between an organization and its founder or co-founder.,"Created by businessman and activist Patrick Ko, initially as a Facebook page, its stated aim is to show solidarity with, and support for the CY Leung administration.",7
14,DATE_OF_DEATH,Describes the date of death of a person.,"On December 11, 2014, 3 crew members died in a fire that broke out in the engine room when the ship was docked in St. Lucia.",4
4,CEO,Describes the relationship between an organization and its CEO.,Stephen Haddrill is Chief Executive Officer of the Financial Reporting Council (FRC) in the United Kingdom.,0
6,HEADQUARTERS,Describes the specific location where an organization's headquarters is or has been situated.,"Sammy Barker, former Princeton police officer, was employed by the Mercer County Sheriff's Dept. when he started the Barkers' Ashland Gas Station in 1979, then he moved from Barkers' Ashland to Barkers' Texaco in 1980.",8
11,PLACE_OF_RESIDENCE,Describes the relationship between a person and the location where she/he lives/lived.,"Murphy lives and works in Poughkeepsie, New York.",11
34,CHILD_OF,Describes the relationship between a person and his/her parent.,"Her son, Dennis shared his mother's love for culinary arts and attended JNA Culinary Arts School and after working under many respectable chefs, decided to bring the Silver Spoon back!",1
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,She holds a master’s degree in Business Administration from the University of Denver.,5
14,DATE_OF_DEATH,Describes the date of death of a person.,"Tommy Woodcock died at Yarrawonga on 27 April 1985, aged 79, where he was cared for in his last years by his lifelong friends, the Hinchliffe family.",4
14,DATE_OF_DEATH,Describes the date of death of a person.,"Umar, also spelled Omar (Arabic: عمر بن الخطاب, ʿUmar ibn Al-Khattāb, Umar Son of Al-Khattab, born c.583 CE – died 3 November 644 CE), was one of the most powerful and influential Muslim caliphs in history.",4
25,SPOUSE,Describes the relationship between a person and her/his spouse.,"Alexandra Polish: Aleksandra (died 20 April 1434 in Płock) was the youngest daughter of Algirdas, Grand Duke of Lithuania, and his second wife, Uliana of Tver.",13
15,DATE_OF_BIRTH,Describes the date of birth of a person.,"The North American leg constituted band leader Paul McCartney's first live performances there since the Beatles' final tour, in 1966, and the only time that Wings played in the US and Canada.",3
1,SUBSIDIARY_OF,Describes the relationship between a parent company and one of its subsidiaries.,"Geeknet, Inc. is a Fairfax County, Virginia–based company that owns the online retailer ThinkGeek and is a subsidiary of GameStop.",14
2,FOUNDED_BY,Describes the relationship between an organization and its founder or co-founder.,"Early on, Matthew started in the Real Estate Land development Business and selling homes for builders.",7
5,DATE_FOUNDED,Describes the founding date of a company.,Member of the Clinical Policy and Medicines Approval Panel since it formed in July 2013.,2
14,DATE_OF_DEATH,Describes the date of death of a person.,He was elected to the Legislative Council for the North Riding of Ontario in 1854 and 1857; he was defeated in 1861.,4
15,DATE_OF_BIRTH,Describes the date of birth of a person.,"Timothy J. Madigan (born 1962) is an American philosopher, author and editor, and a noted humanist.",3
5,DATE_FOUNDED,Describes the founding date of a company.,"John's plan from the beginning has always been to serve our clients to the best of our ability and because of that, we have created long lasting relationships with 1000's of Arizonians throughout the years.",2
1,SUBSIDIARY_OF,Describes the relationship between a parent company and one of its subsidiaries.,He joined with CORE as Senior VP Marketing and Sales at NCC Financial the parent company of the credit counselling firm National Credit Counsellors of Canada in 2003.,14
15,DATE_OF_BIRTH,Describes the date of birth of a person.,"Gildo Pallanca Pastor (born 1 April 1967) is a Monegasque businessman, CEO and owner of Venturi Automobiles.",3
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,"Prior to Ogilvy, she was Director of Marketing and Business Development at GigaOM and worked closely with entrepreneurs and media platforms.",6
5,DATE_FOUNDED,Describes the founding date of a company.,"Helee Group was established in 1989, engaged in pharmaceutical packaging, pharmaceutical, color printing packaging and real estate.",2
25,SPOUSE,Describes the relationship between a person and her/his spouse.,"She was married to The Who's Keith Moon from 1966 to 1975, and to The Small Faces and Faces' Ian McLagan from 1978 to her death.",13
11,PLACE_OF_RESIDENCE,Describes the relationship between a person and the location where she/he lives/lived.,"Rowley was born in England, started his career within insurance and moved to Prague in the early 1990s to assist a local subsidiary.",11
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,Since 1991 he has held the position of a full professor.Between 1987-1990 he was the Dean of the Faculty of Mechanical Engineering.,5
1,SUBSIDIARY_OF,Describes the relationship between a parent company and one of its subsidiaries.,"Edina Realty is a Berkshire Hathaway affiliate and a wholly-owned subsidiary of HomeServices of America, Inc.",14
25,SPOUSE,Describes the relationship between a person and her/his spouse.,"In 1993 David got married and in 1996 the family moved to Atlanta where they opened the first Saigon Café in Duluth Georgia in January, 2002.",13
5,DATE_FOUNDED,Describes the founding date of a company.,"After several years of losses in the early 1980s, in 1988 CDC started to leave the computer manufacturing business and sell the related parts of the company, a process that was completed in 1992 with the creation of Control Data Systems, Inc.",2
5,DATE_FOUNDED,Describes the founding date of a company.,La Tribune ([la tʁiˈbyn]) is a French newspaper founded in 1985.,2
4,CEO,Describes the relationship between an organization and its CEO.,Beverly Malone (born 1948) is the chief executive officer of the National League for Nursing in the United States.,0
5,DATE_FOUNDED,Describes the founding date of a company.,Mr. Goldschmidt was the co-founder of Yozma and the core of its management team since inception in January 1993.,2
4,CEO,Describes the relationship between an organization and its CEO.,"He is the founder and CEO of Just Marketing International (JMI), the world’s largest motorsport marketing agency.",0
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"Stephen Warshall (November 15, 1935 – December 11, 2006) was an American computer scientist.",9
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,He was the Legislative Assembly of Quebec member for Hochelaga from 1886 to 1888 and from 1890 to 1896.,12
2,FOUNDED_BY,Describes the relationship between an organization and its founder or co-founder.,Paul presently leads the nonlinear mechanics group at UQ (including the Advanced Forming and Railway Mechanics groups).,7
11,PLACE_OF_RESIDENCE,Describes the relationship between a person and the location where she/he lives/lived.,"On 24 August 1942, she left Rabaul as part of Operation RE, for the landings at Milne Bay.",11
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,"In 2006, Haller (along with Athletic Director Mark Hollis, men's basketball coach Tom Izzo, and former athletic director Ron Mason) was a member of the Selection Team that brought Head Football Coach Mark Dantonio to Michigan State.",12
4,CEO,Describes the relationship between an organization and its CEO.,"McMillen currently serves as CEO and President of LEAD1 Association, comprising of 129 of the premier college athletic programs in the country.",0
45,POLITICAL_AFFILIATION,Describes the relationship between a person and her/his political affiliation.,"Atzo Nicolaï (born February 22, 1960) is a retired Dutch politician of the People's Party for Freedom and Democracy (VVD).",12
14,DATE_OF_DEATH,Describes the date of death of a person.,"He died at his residence, at 2, The Orchards, Glasheen Road, Cork, on 27 June 1955 aged 79.",4
5,DATE_FOUNDED,Describes the founding date of a company.,"IPG started in 2009 as the Hospitality Performance Group (HPG), focusing on the needs of the hospitality industry in Central Florida.",2
34,CHILD_OF,Describes the relationship between a person and his/her parent.,"He was predeceased by his daughter Mary, sister, Geraldine Messing, first wife Elizabeth Laura Putnam and second wife Mary Jane Vincent Ward.",1
6,HEADQUARTERS,Describes the specific location where an organization's headquarters is or has been situated.,"TVM Comics is a publisher in Vietnam, headquartered in Ho Chi Minh City.",8
3,EMPLOYEE_OR_MEMBER_OF,Describes the previous/current employer of a person.,"Mr. Ward is a member of the Texas Nursery and Landscape Association, where he holds the highest level of certification, Texas Master Certified Nursery Professional.",6
15,DATE_OF_BIRTH,Describes the date of birth of a person.,"Hadrawi (born Mohamed Ibrahim Warsame in 1943) (Somali: Maxamed Ibraahim Warsame (Hadraawi), Arabic: محمد ابراهيم وارسام هدراوى) is a prominent Somali poet and songwriter.",3
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,"Educated as a nurse, she worked as department manager at Stavanger University Hospital before she became mayor.",5
